symbol,status,cluster,session,timeframe,sl,tp,rrr,be,trail_act,trail_dist,horizon,risk_pct,cost_bps,spread_bps,total_return,max_dd,dd_pct,sharpe,calmar,profit_factor,expectancy_pct,win_rate,n_trades,avg_bars_held,n_folds,avg_win_pct,avg_loss_pct,pct_sl,pct_tp,pct_be,pct_trail,pct_horizon,ftmo_ok,leak_free,warmup_trades,optimized_trades
ADAUSD,ok,crypto,unknown,H1,1.5,6.0,4.0,1.0,3.0,1.0,30,1.0,61.8,39.3,-532215.31,533976.91,533.98,-6.93,-1.0,0.52,-0.614,20.6,1308,9.2,52,3.7188,1.741,45.6,1.5,29.7,10.0,13.1,false,true,83,1225
AUD_JPY,ok,forex,forex,H1,1.5,6.0,4.0,0.8,2.5,1.0,30,1.0,4.7,1.2,-219224.55,219565.06,219.57,-4.17,-1.0,0.73,-0.0318,21.6,1243,6.1,37,0.5137,0.1824,43.3,0.5,34.5,19.7,2.0,false,true,92,1151
AUS200.cash,ok,index,apac_idx,H1,1.5,6.0,4.0,0.8,2.5,1.0,30,1.0,4.6,1.6,-161813.16,161813.16,161.81,-2.58,-1.0,0.82,-0.0289,21.2,1216,5.1,33,0.4723,0.1639,47.3,1.4,31.3,18.7,1.3,false,true,107,1109
BARUSD,ok,crypto,crypto,H1,1.5,6.0,4.0,1.0,3.0,1.0,30,1.0,27.4,4.9,-60033.71,60033.71,60.03,-3.09,-1.0,0.75,-0.2741,27.2,426,9.9,18,3.3521,1.6309,40.1,2.1,27.9,16.0,13.8,false,true,90,336
BNBUSD,ok,crypto,crypto,H1,1.5,6.0,4.0,1.0,3.0,1.0,30,1.0,22.8,0.3,-83297.1,83605.57,83.61,-3.54,-1.0,0.69,-0.2003,23.8,404,11.0,18,2.1843,0.9436,39.1,4.2,34.4,13.6,8.7,false,true,100,304
CORN.c,ok,commodity,unknown,H1,1.5,6.0,4.0,0.8,2.5,1.0,30,1.0,26.4,20.4,-636269.2,636269.2,636.27,-14.21,-1.0,0.4,-0.2001,22.6,916,6.0,27,0.6829,0.4579,44.5,2.4,29.0,21.9,2.1,false,true,87,829
COTTON.c,ok,commodity,unknown,H1,1.5,6.0,4.0,0.8,2.5,1.0,30,1.0,68.4,62.4,-352763.98,352763.98,352.76,-42.04,-1.0,0.06,-0.5832,9.6,280,6.1,9,0.4214,0.6904,23.2,1.4,36.4,37.5,1.4,false,true,99,181
EUR_AUD,ok,forex,unknown,H1,1.5,6.0,4.0,0.8,2.5,1.0,30,1.0,4.5,1.0,-417518.8,417518.8,417.52,-6.39,-1.0,0.64,-0.0297,22.2,1312,5.6,37,0.3008,0.1239,47.8,1.0,27.8,18.6,4.8,false,true,94,1218
EUR_CZK,ok,forex,unknown,H1,1.5,6.0,4.0,0.8,2.5,1.0,30,1.0,10.2,6.7,-1142162.99,1142780.5,1142.78,-25.6,-1.0,0.11,-0.0829,19.0,1107,6.5,37,0.0605,0.1164,35.5,1.0,11.8,46.5,5.1,false,true,82,1025
EUR_HUF,ok,forex,unknown,H1,1.5,6.0,4.0,0.8,2.5,1.0,30,1.0,9.1,5.6,-514144.37,514144.37,514.14,-13.73,-1.0,0.4,-0.0629,37.5,1141,6.1,37,0.1238,0.1749,37.8,1.8,17.8,38.5,4.1,false,true,90,1051
EUR_NZD,ok,forex,unknown,H1,1.5,6.0,4.0,0.8,2.5,1.0,30,1.0,4.7,1.2,-454986.18,455345.69,455.35,-9.47,-1.0,0.57,-0.038,33.2,1391,4.9,37,0.1853,0.1491,44.8,1.4,20.9,30.4,2.5,false,true,94,1297
GBP_CAD,ok,forex,unknown,H1,1.5,6.0,4.0,0.8,2.5,1.0,30,1.0,4.5,1.0,-478819.02,480956.04,480.96,-9.28,-1.0,0.56,-0.0362,31.4,1271,5.5,37,0.1694,0.1303,51.5,1.6,14.9,28.2,3.8,false,true,89,1182
HEATOIL.c,ok,commodity,unknown,H1,1.5,6.0,4.0,0.8,2.5,1.0,30,1.0,416.4,410.4,-1814610.77,1814610.77,1814.61,-64.98,-1.0,0.0,-4.0927,0.0,396,9.5,16,0.0,4.0927,40.7,2.8,30.1,22.5,4.0,false,true,90,306
NERUSD,ok,crypto,crypto,H1,1.5,6.0,4.0,1.0,3.0,1.0,30,1.0,53.9,31.4,-103942.75,103942.75,103.94,-6.82,-1.0,0.54,-0.5879,21.4,341,10.2,18,4.1188,1.87,39.6,1.8,38.4,11.1,9.1,false,true,74,267
