symbol,timeframe,status,cluster,data_source,n_signals,n_folds,rows,trials,best_ev,best_atr_sl_mult,best_atr_tp_mult,best_breakeven_atr,best_trail_activation_atr,best_trail_distance_atr,best_horizon,cost_bps,fee_bps,spread_bps,slippage_bps,best_risk_pct
GRTUSD,H4,ok,crypto,bars,5903,138,11365,200,1379.6402914777618,1.8869239057221725,8.608823120097213,1.9710581441791164,4.958124572488396,2.0479006644273867,34,37.5,6.5,15.0,8.0,0.02800168400902814
GRTUSD,M1,ok,crypto,bars,52476,36,100075,200,-0.7357262441375108,2.997828754116004,6.372398322750423,1.5519299436492693,4.59728065877942,2.3051719327845035,46,37.5,6.5,15.0,8.0,0.005006887279772268
GRTUSD,M15,ok,crypto,bars,51642,80,100997,200,-0.004855879782311503,2.7643476796343776,7.532164073360116,1.9029209007503791,3.2437480810516686,1.6816793876224736,46,37.5,6.5,15.0,8.0,0.011076916345783708
GRTUSD,M30,ok,crypto,bars,39727,92,77025,200,0.011456361572776292,2.7562260378918606,6.675571350252625,0.9928581737246234,4.371495090154847,1.8586125364535508,39,37.5,6.5,15.0,8.0,0.01595972378532371
JP225.cash,H1,ok,index,bars,7280,96,29801,200,0.25815858746437015,2.2547989528044385,7.715297510258761,1.186225733227276,1.9586431266356272,0.33929441199810856,31,5.0,0.0,2.0,1.5,0.02626211682062639
JP225.cash,H4,ok,index,bars,1903,96,7957,200,1406.89615423177,2.0930421298805877,3.1890946363806503,1.4747189480480853,2.037392522964593,1.668597916614889,33,5.0,0.0,2.0,1.5,0.02755662937567719
JP225.cash,M1,ok,index,bars,18007,36,100235,200,-0.4522563731241493,2.4665029018944735,7.186887114504198,1.0310122714218977,2.6741101303909027,1.8156124215543454,19,5.0,0.0,2.0,1.5,0.005015744468634913
JP225.cash,M15,ok,index,bars,20585,80,100906,200,-0.048223449279618545,1.4735949969198763,6.357649100447832,1.4970786095346376,3.9812057113676853,0.31568703737556675,19,5.0,0.0,2.0,1.5,0.005714090431073919
JP225.cash,M30,ok,index,bars,11803,64,54672,200,0.029580061877742904,2.3817837652239042,7.721742598805425,0.98353029511727,3.668011715168567,1.5450920142001239,33,5.0,0.0,2.0,1.5,0.015561284061099976
LVMH,H1,ok,equity,bars,7741,43,14196,200,2.8222846587727353,1.2178017262242193,7.623344791964293,1.1511765107259693,1.3256026867277575,0.45145744344917105,10,8.4,0.4,3.0,2.5,0.014621670016826308
LVMH,H4,ok,equity,bars,2641,57,4838,200,408.7519723579032,0.8559430409768017,4.166248976449807,1.041705625580592,1.0691862339254605,1.038365827933576,24,8.4,0.4,3.0,2.5,0.02081094699899274
LVMH,M1,ok,equity,bars,52980,36,100070,200,-0.38607337491333327,2.441606870822597,6.916551050326589,1.4950237442253436,3.898170967576602,1.2499615506904556,27,8.4,0.4,3.0,2.5,0.005006787533483089
LVMH,M15,ok,equity,bars,22023,30,41896,200,0.0753305509117839,1.5969072020615451,6.445446181485554,1.3382969693953466,2.79113402511832,0.41735924042160566,16,8.4,0.4,3.0,2.5,0.007274863476416161
LVMH,M30,ok,equity,bars,12432,25,23061,200,2.6225767257910673,2.088240800860283,5.997458277960981,1.069385721280103,2.4479876386700545,0.5803933754405514,26,8.4,0.4,3.0,2.5,0.010754827228988819
NVDA,H1,ok,equity,bars,5062,26,9051,200,3.381832120844104,2.2864500500240936,6.3321691491512935,1.4591647402475312,3.641579922710789,1.0484278529223812,21,8.4,0.4,3.0,2.5,0.026858762210759404
NVDA,H4,ok,equity,bars,1621,31,2754,200,108.86505505244193,2.212174464894023,7.7143293160299,0.5391000127277096,1.7383517017741645,1.048997782220018,30,8.4,0.4,3.0,2.5,0.026353339579534688
NVDA,M1,ok,equity,bars,52912,36,100179,200,-0.32133067679252864,2.1934782323585984,4.620564996310663,1.4241315066908133,3.628537203486636,1.2891044956701447,19,8.4,0.4,3.0,2.5,0.005027955085739715
NVDA,M15,ok,equity,bars,15654,21,30592,200,2.1335388180906874,1.249080237694725,7.704285838459497,1.178392730173686,2.79597545259111,0.565231688752142,10,8.4,0.4,3.0,2.5,0.0064520903042049865
NVDA,M30,ok,equity,bars,8718,16,15851,200,2.8015679487383225,1.785276192147149,5.991047776555678,0.562784064923772,2.92370217668224,1.1268564894807862,16,8.4,0.4,3.0,2.5,0.013180867936899786
PFE,H1,ok,equity,bars,6390,35,11741,200,2.164298701537754,1.376702297031237,7.25494997984452,1.3579476733931999,2.1206871959714917,0.34841837263449815,35,8.4,0.4,3.0,2.5,0.012419393757043673
PFE,H4,ok,equity,bars,1906,40,3453,200,15.793569975140025,1.8327888439239635,4.747832928105861,0.34397514599231155,2.335394488689438,1.399531941948428,6,8.4,0.4,3.0,2.5,0.014126304415618168
PFE,M1,ok,equity,bars,49825,36,100176,200,-0.312575546534077,2.4488254903576654,6.573565680159317,1.3800840996439396,1.8587042789945893,1.8656571160135462,35,8.4,0.4,3.0,2.5,0.0050142578787902405
PFE,M15,ok,equity,bars,17079,23,33024,200,0.045006872092995184,1.6811635567432341,4.461322535535859,1.187307984505353,3.5977376333670144,1.424164330081498,17,8.4,0.4,3.0,2.5,0.007690852025879997
PFE,M30,ok,equity,bars,10016,19,18461,200,1.758038013493756,0.8509461282146991,6.234003929093587,0.6427898550089873,1.9088982757755233,1.1363061091753408,13,8.4,0.4,3.0,2.5,0.006042794458614236
RACE,H1,ok,equity,bars,5398,29,9883,200,0.9898813798313059,2.3475180674397045,4.984584977912324,1.035101041028108,3.519714649221276,1.6483500426759412,31,8.4,0.4,3.0,2.5,0.019251615442666358
RACE,H4,ok,equity,bars,1687,33,2912,200,793.9583567354507,1.3596121135373498,6.848223554711613,0.8556503001525937,1.5440444445015584,1.4359010725037495,34,8.4,0.4,3.0,2.5,0.009351107532561537
RACE,M1,ok,equity,bars,48565,36,100177,200,-0.3796824675336314,2.3331631917508866,4.063204443015718,1.3413364830519638,1.357918842733006,0.4170771770402272,34,8.4,0.4,3.0,2.5,0.005006091666517821
