symbol,status,cluster,session,timeframe,sl,tp,rrr,be,trail_act,trail_dist,horizon,risk_pct,cost_bps,spread_bps,total_return,max_dd,dd_pct,sharpe,calmar,profit_factor,expectancy_pct,win_rate,n_trades,avg_bars_held,n_folds,avg_win_pct,avg_loss_pct,pct_sl,pct_tp,pct_be,pct_trail,pct_horizon,ftmo_ok,leak_free,warmup_trades,optimized_trades
LNKUSD,ok,crypto,crypto,H4,1.23,8.27,6.7,1.54,3.65,0.85,17,1.16,24.5,2.0,-7497.48,21162.93,21.16,-0.66,-0.35,0.9,-0.3391,24.8,101,8.4,18,7.4615,2.9051,56.4,0.0,18.8,20.8,4.0,false,true,19,82
USD_CHF,ok,forex,forex,H4,2.23,6.98,3.1,1.14,2.13,1.92,35,2.42,4.3,0.8,-30780.07,87730.59,87.73,-0.41,-0.35,0.93,-0.028,27.6,301,7.1,35,0.6307,0.2788,48.5,3.0,22.3,20.9,5.3,false,true,25,276
XAG_EUR,ok,commodity,metals,H4,0.8,7.08,8.8,1.31,3.79,1.58,26,2.64,8.8,4.7,-58120.76,140661.27,140.66,-0.54,-0.41,0.92,-0.0503,13.8,376,4.7,35,3.7234,0.6559,56.1,3.2,30.1,8.0,2.7,false,true,27,349
EUR_USD,ok,forex,forex,H4,0.82,7.91,9.7,0.73,3.84,0.67,34,2.66,3.8,0.3,-68504.8,149490.63,149.49,-1.08,-0.46,0.85,-0.0217,27.3,282,7.3,35,0.6196,0.2625,45.7,1.4,25.9,18.8,8.2,false,true,21,261
AVAUSD,ok,crypto,crypto,H4,1.62,9.66,5.9,1.54,3.6,0.81,12,0.65,32.6,10.1,-2797.97,5796.35,5.8,-0.96,-0.48,0.88,-0.4716,26.0,50,6.6,18,6.6277,2.966,70.0,4.0,4.0,6.0,16.0,true,true,7,43
BNBUSD,ok,crypto,crypto,H4,2.93,9.66,3.3,1.08,3.63,2.3,44,2.2,22.8,0.3,-35699.94,66349.48,66.35,-1.13,-0.54,0.81,-0.2161,22.0,118,9.8,18,5.6553,1.8754,48.3,5.9,28.8,10.2,6.8,false,true,25,93
BAC,ok,equity,us_equity,H4,1.44,7.68,5.3,0.43,1.85,1.8,36,1.56,24.4,19.0,-7760.61,12850.36,12.85,-1.54,-0.6,0.8,-0.1884,26.2,61,5.9,8,2.8011,1.2513,27.9,3.3,45.9,21.3,1.6,false,true,19,42
XAG_AUD,ok,commodity,metals,H4,0.91,6.56,7.2,0.45,3.26,1.63,32,1.03,8.4,4.2,-21950.45,35524.96,35.52,-1.23,-0.62,0.83,-0.1691,18.6,242,5.9,35,2.9427,0.88,41.7,0.0,39.7,16.9,1.7,false,true,17,225
ALGUSD,ok,crypto,crypto,H4,1.62,9.66,5.9,1.54,3.6,0.81,12,0.65,38.2,15.7,-7086.58,11316.26,11.32,-0.9,-0.63,0.86,-0.2365,27.5,138,8.3,18,6.159,2.6669,45.7,0.7,23.2,7.2,23.2,false,true,23,115
AUD_CHF,ok,forex,forex,H4,0.7,3.17,4.5,1.2,3.82,0.83,21,2.93,5.1,1.6,-141915.23,224639.22,224.64,-1.45,-0.63,0.82,-0.0465,21.0,362,4.9,35,0.7054,0.2463,51.4,1.4,25.7,18.8,2.8,false,true,25,337
