symbol,status,error,gpu,timeframe,best_ev,best_num_boost_round,best_max_depth,best_gamma,best_subsample,best_colsample_bytree,best_reg_alpha,best_reg_lambda,best_min_child_weight,best_eta,best_colsample_bylevel,trials,rows,device_used,cluster,calmar_score,fee_bps,spread_bps,slippage_bps,n_features,htf_enabled,account_id
CADCHF,ok,,0,H4,-0.0005856413539200987,1528,6,0.05089173680907751,0.7679493887953706,0.765244799399313,0.13791691370610584,0.06151599284782706,7.834929401874856,0.12766810382683655,0.8680310965076088,150,15520,cuda,forex,-0.0005856413539200987,3.0,1.9362958660092855,3.0,39,false,ftmo_100k
CADJPY,ok,,0,H4,-0.00043359599360152397,548,5,0.08266457685380568,0.8727964521947733,0.78214934493161,0.0599740699259703,0.04565514758275378,19.027064810034368,0.2653372021701245,0.9266141249631088,150,15958,cuda,forex,-0.00043359599360152397,3.0,1.3936828999754312,3.0,39,false,ftmo_100k
CAD_CHF,ok,,0,H4,-0.00003463255391628212,1858,7,0.0014083161311234365,0.7306752480256806,0.43176405995015815,0.00003263297503752325,1.2802628056629985,6.128298051199309,0.05268210227180177,0.9281437852476923,150,15520,cuda,forex,-0.00003463255391628212,0.5,1.9362958660092855,1.5,39,false,ftmo_100k
CAD_JPY,ok,,0,H4,0.0002610908719252084,201,7,0.01253231075673259,0.8889578978189764,0.5858862247694823,0.026108864370849375,0.000153600599779879,6.841227602660651,0.08871991940056587,0.9630857180693809,150,15958,cuda,forex,0.0002610908719252084,0.5,1.3936828999754312,1.5,39,false,ftmo_100k
CHFJPY,ok,,0,H4,-0.0005202980631953224,1194,8,0.0014628478302854103,0.9263671718920259,0.4835354815455616,0.00003430481859927633,33.59558101060972,43.051307605080105,0.12373462957615809,0.717816367840595,150,16666,cuda,forex,-0.0005202980631953224,3.0,1.124862722345721,3.0,39,false,ftmo_100k
CHF_JPY,ok,,0,H4,3.134490325834928e-6,1283,6,0.32326293428460956,0.7704851895954956,0.6189632028958958,2.3088880558976665,3.524675432636932,9.872328479052559,0.013252300244636465,0.8269980200929332,150,16666,cuda,forex,3.134490325834928e-6,0.5,1.124862722345721,1.5,39,false,ftmo_100k
COCOA.c,ok,,0,H4,0.001903368446439195,1114,8,0.010294745805633356,0.6343921187620667,0.598683846338099,0.012203913027157148,0.00040617335659584705,2.28860131158788,0.04761115836535205,0.52671816023714,150,1645,cuda,commodity,0.001903368446439195,0.0,19.338183524992765,4.0,39,false,ftmo_100k
COFFEE.c,ok,,0,H4,0.002173875555556738,449,6,0.04146887179229833,0.7927717769334564,0.3381164875597712,5.056047957071665,16.469386995663257,3.135561237218913,0.21973996760021686,0.3564342929732543,150,1677,cuda,commodity,0.002173875555556738,0.0,8.66838334650524,4.0,39,false,ftmo_100k
CORN.c,ok,,0,H4,-0.00182477905202632,263,4,0.6661089160807692,0.8042069587531142,0.8503385927591691,0.0006325354873723201,0.002819810301555691,20.073374074970534,0.047134458079574094,0.4114787738705094,150,2348,cuda,commodity,-0.00182477905202632,0.0,20.4007456824285,4.0,39,false,ftmo_100k
COTTON.c,ok,,0,H4,-0.00631524590795786,1042,9,0.5750221310268944,0.6400324275033582,0.5480101091449541,1.2753422431527448,13.365945830046885,19.578737014407125,0.2727963614294799,0.5290021605051618,150,564,cuda,commodity,-0.00631524590795786,0.0,62.754941951678475,4.0,39,false,ftmo_100k
