symbol,status,rows,cluster,gpu,timeframe,best_ev,trials,device_used,calmar_score,fee_bps,spread_bps,slippage_bps,best_num_boost_round,best_max_depth,best_gamma,best_subsample,best_colsample_bytree,best_reg_alpha,best_reg_lambda,best_min_child_weight,best_eta,best_colsample_bylevel
USD_JPY,killed_negative_ev,6506,forex,0,H1,-0.00012060933625926625,200,cuda,-0.00012060933625926625,0.5,0.464975705019745,1.5,,,,,,,,,,
USD_MXN,killed_negative_ev,6227,forex,0,H1,-0.0006321380702768307,200,cuda,-0.0006321380702768307,0.5,2.5834465661268124,3.0,,,,,,,,,,
USD_NOK,killed_negative_ev,6099,forex,0,H1,-0.0008111428535512109,200,cuda,-0.0008111428535512109,0.5,4.552249370418814,3.0,,,,,,,,,,
USD_PLN,killed_negative_ev,6270,forex,0,H1,-0.0008649011840514568,200,cuda,-0.0008649011840514568,0.5,4.982873113502836,3.0,,,,,,,,,,
USD_SEK,killed_negative_ev,6210,forex,0,H1,-0.0008673928494910293,200,cuda,-0.0008673928494910293,0.5,5.204350412098774,3.0,,,,,,,,,,
USD_SGD,insufficient_rows,2806,forex,,,,,,,,,,,,,,,,,,,
USD_ZAR,killed_negative_ev,6095,forex,0,H1,-0.0008795495013086944,200,cuda,-0.0008795495013086944,0.5,5.542311514787658,3.0,,,,,,,,,,
USOIL.cash,killed_negative_ev,6073,commodity,0,H1,-0.00008786646807111521,200,cuda,-0.00008786646807111521,0.0,3.8984148542171044,3.0,,,,,,,,,,
V,insufficient_rows,1769,equity,,,,,,,,,,,,,,,,,,,
VECUSD,killed_negative_ev,3417,crypto,0,H1,-0.001071337297174347,200,cuda,-0.001071337297174347,6.5,8.81445570736124,8.0,,,,,,,,,,
VOWG_p,insufficient_rows,2380,equity,,,,,,,,,,,,,,,,,,,
WHEAT.c,killed_negative_ev,4881,commodity,0,H1,-0.002080580770735408,200,cuda,-0.002080580770735408,0.0,20.51097517092455,4.0,,,,,,,,,,
WMT,insufficient_rows,1819,equity,,,,,,,,,,,,,,,,,,,
XAG_AUD,killed_negative_ev,5932,commodity,0,H1,-0.0000591017348738088,200,cuda,-0.0000591017348738088,0.13999999999999999,4.121826865349976,2.0,,,,,,,,,,
XAG_EUR,killed_negative_ev,5968,commodity,0,H1,-0.0000766463364231378,200,cuda,-0.0000766463364231378,0.13999999999999999,4.552049844945301,2.0,,,,,,,,,,
XAG_USD,killed_negative_ev,5995,commodity,0,H1,-0.00012991808009773053,200,cuda,-0.00012991808009773053,0.13999999999999999,5.362183985995067,2.0,,,,,,,,,,
XAU_AUD,ok,6111,commodity,0,H1,2.0956891263243965e-6,600,cuda,2.0956891263243965e-6,0.13999999999999999,0.9751875712335176,2.0,1538,8,0.2819823636988802,0.5536110242339152,0.9316651781402263,0.3116178568218545,1.232161465806269,3.042326589140708,0.04686243658959345,0.7033415347296379
XAU_EUR,killed_negative_ev,6127,commodity,0,H1,-0.00005759904843245266,200,cuda,-0.00005759904843245266,0.13999999999999999,1.5961437167796138,2.0,,,,,,,,,,
XAU_USD,ok,6160,commodity,0,H1,0.000013719813717882159,600,cuda,0.000013719813717882159,0.13999999999999999,0.7966611047918627,2.0,1420,8,1.893905581947843,0.6430425543058833,0.7610687897184184,0.306358523682215,0.1492704592652147,3.3191955704693523,0.21509676392399457,0.9510735837405531
XCU_USD,insufficient_rows,3129,commodity,,,,,,,,,,,,,,,,,,,
XLMUSD,killed_negative_ev,3378,crypto,0,H1,-0.0006951137123403095,200,cuda,-0.0006951137123403095,6.5,3.100294527979816,8.0,,,,,,,,,,
XMRUSD,killed_negative_ev,8021,crypto,0,H1,-0.010051995400868768,200,cuda,-0.010051995400868768,6.5,97.69961808331063,8.0,,,,,,,,,,
XPD_USD,killed_negative_ev,6039,commodity,0,H1,-0.003803571678792888,200,cuda,-0.003803571678792888,0.13999999999999999,46.62875319292502,2.0,,,,,,,,,,
XPT_USD,killed_negative_ev,6092,commodity,0,H1,-0.001947539330375809,200,cuda,-0.001947539330375809,0.13999999999999999,25.863201643074046,2.0,,,,,,,,,,
XRPUSD,killed_negative_ev,8249,crypto,0,H1,-0.0042763730045998535,200,cuda,-0.0042763730045998535,6.5,40.947645510383644,8.0,,,,,,,,,,
XTZUSD,killed_negative_ev,3367,crypto,0,H1,-0.005380508096455026,200,cuda,-0.005380508096455026,6.5,48.979591836734734,8.0,,,,,,,,,,
ZM,insufficient_rows,1860,equity,,,,,,,,,,,,,,,,,,,
