symbol,status,rows,cluster,gpu,timeframe,best_ev,trials,device_used,calmar_score,fee_bps,spread_bps,slippage_bps,best_num_boost_round,best_max_depth,best_gamma,best_subsample,best_colsample_bytree,best_reg_alpha,best_reg_lambda,best_min_child_weight,best_eta,best_colsample_bylevel,n_features,htf_enabled,error
EUR_NZD,killed_negative_ev,12698,forex,0,M30,-0.0003237416969866713,40,cuda,-0.0003237416969866713,0.5,1.2002228985385486,1.5,,,,,,,,,,,,,
EUR_PLN,killed_negative_ev,11394,forex,0,M30,-0.0011064892901365584,40,cuda,-0.0011064892901365584,0.5,5.505218488358151,3.0,,,,,,,,,,,,,
EUR_USD,killed_negative_ev,12593,forex,0,M30,-0.00022832488452477785,40,cuda,-0.00022832488452477785,0.5,0.27465107869187805,1.5,,,,,,,,,,,,,
FETUSD,killed_negative_ev,6727,crypto,0,M30,-0.0006740348116699919,40,cuda,-0.0006740348116699919,6.5,2.9027576197400435,8.0,,,,,,,,,,,,,
FRA40.cash,killed_negative_ev,9391,index,0,M30,-0.0001278660433187703,40,cuda,-0.0001278660433187703,0.0,1.9992239037647894,1.5,,,,,,,,,,,,,
GALUSD,killed_negative_ev,6887,crypto,0,M30,-0.0015881489254084558,40,cuda,-0.0015881489254084558,6.5,8.729812309035,8.0,,,,,,,,,,,,,
GBPJPY,killed_negative_ev,12569,forex,0,M30,-0.0012023873282651664,40,cuda,-0.0012023873282651664,3.0,0.9527086034880081,5.0,,,,,,,,,,,,,
GBP_AUD,killed_negative_ev,12526,forex,0,M30,-0.0003168088715958018,40,cuda,-0.0003168088715958018,0.5,1.1241474197159549,1.5,,,,,,,,,,,,,
GBP_CAD,killed_negative_ev,12306,forex,0,M30,-0.0003224628734647753,40,cuda,-0.0003224628734647753,0.5,0.9585484193831207,1.5,,,,,,,,,,,,,
GBP_CHF,killed_negative_ev,12369,forex,0,M30,-0.00033533349216947206,40,cuda,-0.00033533349216947206,0.5,1.2674615461222827,1.5,,,,,,,,,,,,,
GBP_JPY,killed_negative_ev,12569,forex,0,M30,-0.00025238732826516626,40,cuda,-0.00025238732826516626,0.5,0.9527086034880081,1.5,,,,,,,,,,,,,
GBP_NZD,killed_negative_ev,12750,forex,0,M30,-0.0003095432001902915,40,cuda,-0.0003095432001902915,0.5,1.023438977451746,1.5,,,,,,,,,,,,,
GBP_USD,killed_negative_ev,12488,forex,0,M30,-0.00025863106936475737,40,cuda,-0.00025863106936475737,0.5,0.5334044539273007,1.5,,,,,,,,,,,,,
GER40.cash,killed_negative_ev,11762,index,0,M30,-0.00005375065959322816,40,cuda,-0.00005375065959322816,0.0,0.6510143715328602,1.5,,,,,,,,,,,,,
GOOG,insufficient_rows,3389,equity,,,,,,,,,,,,,,,,,,,,,,
GRTUSD,killed_negative_ev,6970,crypto,0,M30,-0.00135539114595667,40,cuda,-0.00135539114595667,6.5,4.847701381594136,8.0,,,,,,,,,,,,,
HEATOIL.c,killed_negative_ev,6559,commodity,0,M30,-0.041073466119544697,40,cuda,-0.041073466119544697,0.13999999999999999,410.4403267583174,3.0,,,,,,,,,,,,,
