symbol,timeframe,year,thread,train_years,n_obs,n_trades,win_rate,sharpe,sortino,max_drawdown_pct,profit_factor,device,spread_bps,slippage_bps,total_cost_bps
NZD_JPY,M15,2026,1,2024-2025,3367,38,0.34210526315789475,-8.276811687893325,-17.603553748918536,-0.0460184006444907,0.32051406617551714,cuda,1.5361657303366172,3.0,7.536165730336617
NZD_JPY,M30,2026,1,2024-2025,1687,80,0.4875,-4.26905545844581,-11.641025121288472,-0.06249257194256186,0.553944344093675,cuda,1.5361657303366172,3.0,7.536165730336617
NZD_JPY,M5,2026,1,2024-2025,10045,23,0.4782608695652174,-4.273570688088513,-6.349080955589561,-0.01455870309603835,0.507120999442497,cuda,1.5361657303366172,3.0,7.536165730336617
PFE,H1,2026,1,2024-2025,213,49,0.5714285714285714,1.6437149587147668,6.213185593255663,-0.13286797880316426,1.2582355484908712,cuda,13.932427725530877,5.0,21.93242772553088
PFE,M1,2026,1,2024-2025,10119,36,0.3611111111111111,-7.70781350825124,-17.329774174496663,-0.11176099138202578,0.34360859388251264,cuda,13.932427725530877,5.0,21.93242772553088
PFE,M15,2026,1,2024-2025,822,109,0.43119266055045874,-5.6438531630738105,-9.746134316093634,-0.3302642203396655,0.4353314923652988,cuda,13.932427725530877,5.0,21.93242772553088
PFE,M30,2026,1,2024-2025,404,98,0.5306122448979592,-0.7498767395586339,-1.9938175720159026,-0.20273328688200531,0.8989590441730887,cuda,13.932427725530877,5.0,21.93242772553088
PFE,M5,2026,1,2024-2025,2470,99,0.3838383838383838,-7.276949266775092,-19.773449191353592,-0.2744835347909903,0.3767453797718162,cuda,13.932427725530877,5.0,21.93242772553088
RACE,H1,2026,1,2024-2025,220,73,0.4794520547945205,-2.784503256467021,-3.333752489061588,-0.42774319082249557,0.6283978803908885,cuda,20.967017268988975,5.0,28.967017268988975
RACE,M1,2026,1,2024-2025,10329,41,0.21951219512195122,-11.499345892167304,-15.594157620575709,-0.12497958202382664,0.160932346541941,cuda,20.967017268988975,5.0,28.967017268988975
RACE,M15,2026,1,2024-2025,820,91,0.37362637362637363,-5.095450909610118,-9.57350861641982,-0.311875862153272,0.47267916981503777,cuda,20.967017268988975,5.0,28.967017268988975
RACE,M30,2026,1,2024-2025,398,84,0.39285714285714285,-4.328635621667355,-10.527273603786481,-0.3670855217155241,0.5297775254069413,cuda,20.967017268988975,5.0,28.967017268988975
RACE,M5,2026,1,2024-2025,2441,64,0.234375,-8.716649688553556,-14.431321219121445,-0.23012042594326976,0.2435089215260772,cuda,20.967017268988975,5.0,28.967017268988975
SUGAR.c,H1,2026,1,2025-2025,131,0,0.0,0.0,0.0,0.0,0.0,cuda,77.38304607808612,5.0,85.38304607808612
SUGAR.c,M1,2026,1,2025-2025,6188,0,0.0,0.0,0.0,0.0,0.0,cuda,77.38304607808612,5.0,85.38304607808612
SUGAR.c,M15,2026,1,2025-2025,559,0,0.0,0.0,0.0,0.0,0.0,cuda,77.38304607808612,5.0,85.38304607808612
SUGAR.c,M30,2026,1,2025-2025,260,0,0.0,0.0,0.0,0.0,0.0,cuda,77.38304607808612,5.0,85.38304607808612
SUGAR.c,M5,2026,1,2025-2025,1640,0,0.0,0.0,0.0,0.0,0.0,cuda,77.38304607808612,5.0,85.38304607808612
SPN35.cash,H1,2026,1,2024-2025,392,77,0.5324675324675324,0.9007429712461283,3.3574573688524803,-0.046921455304519744,1.1286176240754533,cuda,4.410105927352602,4.0,11.410105927352603
SPN35.cash,M1,2026,1,2024-2025,23675,53,0.2830188679245283,-12.384230736184316,-16.36460989735179,-0.06529744161178852,0.12981620956878173,cuda,4.410105927352602,4.0,11.410105927352603
SPN35.cash,M15,2026,1,2024-2025,1577,99,0.5353535353535354,-2.9157320887675615,-4.402958608669908,-0.08013184661945649,0.6399563661878453,cuda,4.410105927352602,4.0,11.410105927352603
SPN35.cash,M30,2026,1,2024-2025,780,125,0.44,-3.3802603958046236,-8.06798445565403,-0.13371849979510797,0.6246824704317998,cuda,4.410105927352602,4.0,11.410105927352603
SPN35.cash,M5,2026,1,2024-2025,4664,55,0.36363636363636365,-6.919085011515971,-20.930530249598576,-0.07644618471856335,0.37320775101195486,cuda,4.410105927352602,4.0,11.410105927352603
SOYBEAN.c,H1,2026,1,2024-2025,617,21,0.5714285714285714,2.543824743368382,13.062334141861232,-0.05197934878013932,1.4581748391204488,cuda,18.773244574786244,5.0,26.773244574786244
SOYBEAN.c,M1,2026,1,2024-2025,31662,0,0.0,0.0,0.0,0.0,0.0,cuda,18.773244574786244,5.0,26.773244574786244
SOYBEAN.c,M15,2026,1,2024-2025,2373,2,0.0,-49.74680788672375,-49.74680788672375,-0.005003358520738854,0.0,cuda,18.773244574786244,5.0,26.773244574786244
SOYBEAN.c,M30,2026,1,2024-2025,1246,7,0.14285714285714285,-26.393665284017434,-109.32094776763212,-0.03988845483196024,0.04507571731891159,cuda,18.773244574786244,5.0,26.773244574786244
SOYBEAN.c,M5,2026,1,2024-2025,6832,6,0.5,-5.472923667282139,-32.032403323414684,-0.019763119071622204,0.4485687901629737,cuda,18.773244574786244,5.0,26.773244574786244
T,H1,2026,1,2024-2025,218,59,0.2711864406779661,-10.219970949326589,-21.82420800610298,-0.4482899727842158,0.2449518995593845,cuda,34.10641200545751,5.0,42.10641200545751
T,M1,2026,1,2024-2025,8320,0,0.0,0.0,0.0,0.0,0.0,cuda,34.10641200545751,5.0,42.10641200545751
T,M15,2026,1,2024-2025,840,25,0.36,-7.410618111830564,-12.023414993910094,-0.16176159876406537,0.3371660391939528,cuda,34.10641200545751,5.0,42.10641200545751
T,M30,2026,1,2024-2025,401,38,0.47368421052631576,-4.385721975679625,-7.936674501677253,-0.10456800357914409,0.5236303772241145,cuda,34.10641200545751,5.0,42.10641200545751
T,M5,2026,1,2024-2025,2345,11,0.45454545454545453,-8.449856474674494,-16.649623618556245,-0.062045416190060765,0.2462245194293567,cuda,34.10641200545751,5.0,42.10641200545751
TSLA,H1,2026,1,2024-2025,204,48,0.625,3.763617987588654,7.052390993301539,-0.18346774014985145,1.6713211231142273,cuda,5.459654757124338,5.0,13.459654757124337
TSLA,M1,2026,1,2024-2025,13285,134,0.35074626865671643,-4.691770626755999,-9.12551692814146,-0.27565086295735874,0.5023959875153307,cuda,5.459654757124338,5.0,13.459654757124337
TSLA,M15,2026,1,2024-2025,835,163,0.39263803680981596,-2.694438500645303,-8.140300779617455,-0.35495011235439544,0.6806894012841218,cuda,5.459654757124338,5.0,13.459654757124337
