symbol,status,cluster,session,timeframe,sl,tp,rrr,be,trail_act,trail_dist,horizon,risk_pct,cost_bps,spread_bps,total_return,max_dd,dd_pct,sharpe,calmar,profit_factor,expectancy_pct,win_rate,n_trades,avg_bars_held,n_folds,avg_win_pct,avg_loss_pct,pct_sl,pct_tp,pct_be,pct_trail,pct_horizon,ftmo_ok,leak_free,warmup_trades,optimized_trades
ALGUSD,ok,crypto,crypto,H4,1.62,9.66,5.9,1.54,3.6,0.81,12,0.5,38.2,15.7,-5491.7,8769.46,8.77,-0.9,-0.63,0.86,-0.2365,27.5,138,8.3,18,6.159,2.6669,45.7,0.7,23.2,7.2,23.2,true,true,23,115
AUD_CHF,ok,forex,forex,H4,0.7,3.17,4.5,1.2,3.82,0.83,21,0.5,5.1,1.6,-24240.42,38370.44,38.37,-1.45,-0.63,0.82,-0.0465,21.0,362,4.9,35,0.7054,0.2463,51.4,1.4,25.7,18.8,2.8,false,true,25,337
MANUSD,ok,crypto,crypto,H4,1.33,6.63,5.0,1.18,3.74,1.06,17,0.5,34.4,11.9,-7444.96,11556.32,11.56,-1.76,-0.64,0.73,-0.76,26.6,124,9.2,18,6.1424,3.2631,35.5,1.6,32.3,16.1,14.5,false,true,22,102
COFFEE.c,ok,commodity,agri,H4,1.31,7.81,6.0,1.31,3.88,1.36,33,0.5,14.7,8.7,-18724.48,28266.7,28.27,-2.93,-0.66,0.67,-0.2172,18.7,193,5.5,20,4.4725,1.2925,48.7,2.1,32.6,16.1,0.5,false,true,27,166
SANUSD,ok,crypto,crypto,M30,2.02,9.52,4.7,1.92,4.0,0.5,45,0.5,33.7,11.2,-51130.03,74986.7,74.99,-3.17,-0.68,0.76,-0.1417,22.8,668,12.6,13,3.6559,1.2604,37.3,2.8,38.8,13.5,7.6,false,true,242,426
NZD_JPY,ok,forex,forex,H4,0.81,6.0,7.4,1.26,2.51,1.54,28,0.5,5.0,1.5,-17147.67,25048.89,25.05,-1.3,-0.68,0.82,-0.0344,28.0,307,6.7,35,0.8542,0.3802,47.2,3.6,22.5,23.1,3.6,false,true,29,278
XLMUSD,ok,crypto,crypto,H1,1.56,7.02,4.5,0.74,3.43,2.4,46,0.5,25.7,3.2,-15048.25,21802.72,21.8,-1.52,-0.69,0.85,-0.1269,22.4,437,10.3,19,3.549,1.1895,30.2,2.5,44.2,12.1,11.0,false,true,93,344
BARUSD,ok,crypto,crypto,M30,2.89,9.31,3.2,1.38,3.29,1.25,32,0.5,27.5,5.0,-60664.07,86791.7,86.79,-3.22,-0.7,0.72,-0.2919,24.2,649,13.4,13,2.9294,1.3198,42.5,1.4,32.2,14.8,9.1,false,true,244,405
COCOA.c,ok,commodity,agri,H4,1.69,7.51,4.5,1.43,2.79,0.62,36,0.5,25.3,19.3,-10745.24,15130.94,15.13,-1.68,-0.71,0.82,-0.2054,31.0,203,4.9,20,4.4165,2.2852,48.8,1.0,19.7,30.0,0.5,false,true,30,173
GRTUSD,ok,crypto,crypto,H4,1.28,7.43,5.8,1.62,4.84,1.91,13,0.5,27.4,4.9,-6002.37,8202.64,8.2,-1.74,-0.73,0.76,-0.1756,37.9,132,8.0,18,4.5005,3.027,29.5,3.0,18.9,18.9,29.5,true,true,25,107
GBP_JPY,ok,forex,forex,H4,0.53,7.09,13.5,0.6,3.57,0.92,20,0.5,4.5,1.0,-12998.71,17374.82,17.37,-1.01,-0.75,0.84,-0.0343,23.6,348,5.3,35,0.6606,0.2485,35.1,0.6,39.9,19.0,5.5,false,true,29,319
AUD_USD,ok,forex,forex,H4,1.9,7.32,3.8,0.61,3.2,1.07,36,0.5,4.1,0.6,-25001.77,33024.84,33.02,-1.96,-0.76,0.74,0.0007,21.4,308,7.0,35,1.018,0.2768,48.1,0.3,29.9,16.6,5.2,false,true,22,286
SOLUSD,ok,crypto,crypto,H4,2.1,6.74,3.2,1.57,3.26,2.28,21,0.5,24.3,1.8,-17697.81,23343.04,23.34,-2.58,-0.76,0.63,-0.3971,12.5,136,8.2,18,9.638,1.8306,54.4,2.9,33.1,6.6,2.9,false,true,24,112
VECUSD,ok,crypto,crypto,H4,0.92,4.56,4.9,1.56,4.84,1.05,16,0.5,31.4,8.9,-7499.87,9863.84,9.86,-1.67,-0.76,0.74,-0.6822,29.4,119,9.4,18,5.1304,3.1042,37.8,2.5,25.2,11.8,22.7,true,true,25,94
UK100.cash,ok,index,eu_idx,H4,1.14,7.45,6.6,0.37,3.49,0.67,28,0.5,4.3,1.3,-17278.11,22303.56,22.3,-2.0,-0.77,0.74,-0.034,27.6,272,7.2,34,0.9052,0.3916,41.9,0.7,29.4,24.6,3.3,false,true,26,246
GBP_USD,ok,forex,forex,H4,0.78,3.75,4.8,0.74,2.37,1.63,12,0.5,4.0,0.5,-18230.03,21864.65,21.86,-1.52,-0.83,0.82,-0.0344,30.9,337,5.4,35,0.4528,0.2519,46.3,0.6,22.3,27.6,3.3,false,true,19,318
GALUSD,ok,crypto,crypto,H4,1.21,9.79,8.1,1.62,4.79,2.29,31,0.5,31.3,8.8,-10352.24,12173.17,12.17,-3.15,-0.85,0.57,-0.8944,23.4,107,9.3,18,6.1382,3.0385,41.1,4.7,31.8,9.3,13.1,false,true,22,85
AUD_JPY,ok,forex,forex,H4,0.56,7.79,13.9,1.21,3.94,0.68,20,0.5,4.7,1.2,-24647.49,27198.81,27.2,-1.46,-0.91,0.79,-0.0162,13.4,366,5.0,35,1.3428,0.2263,45.6,3.8,41.0,8.7,0.8,false,true,25,341
USD_JPY,ok,forex,forex,H4,0.54,4.93,9.1,0.33,1.33,0.39,21,0.5,4.0,0.5,-30753.16,32679.89,32.68,-2.25,-0.94,0.73,-0.0409,14.6,390,4.2,35,0.8141,0.1872,39.7,1.0,45.4,10.5,3.3,false,true,25,365
FETUSD,ok,crypto,crypto,H4,2.08,6.44,3.1,1.41,2.51,1.66,12,0.5,25.4,2.9,-23102.81,24255.07,24.26,-5.11,-0.95,0.46,-0.9462,25.0,140,7.8,18,6.417,3.4005,43.6,0.0,21.4,12.1,22.9,false,true,24,116
